FAMILY,AUTHOR,GENUS,AUTHOR,SCIENTIFIC NAME,YEAR,SYNONYMS,LOCAL NAMES,ENGLISH NAME,FLOWER,,SEED,,HABITAT,ORIGIN,STATUS IN BENGAL,USES,DISTRIBUTION IN BENGAL,BIBLIOGRAPHY
Fabaceae,Lindl.,Acacia,Martius,Acacia tomentosa Willd.,1806,"Acacia chrysocoma Miq.; Acacia tomentosa var. chrysocoma (Miq.) Backer; Mimosa kleinii Poir.; Mimosa tomentosa (Willd.) Roxb.; Mimosa tomentosa Rottler; Vachellia tomentosa (Rottler) Maslin, Seigler & Ebinger","????????? (??????) (?????, ?????)",,5,12,6,1,,Native,Wild,Unknown,"Bangladesh (Dhak); West Bengal (Bank, Birbh, N24P, S24P)",??? (????). ?? ???; ????? (?????). ?? ??
Fabaceae,Lindl.,Acacia,Martius,Acacia torta (Roxb.) Craib,1915,Mimosa torta Roxb.,"?????? (???, ????), ???????? (???, ????), ????? (???, ????), ???????????? (???, ????), ????? (????????)",,5,1,7,3,,Native,Cultivated,Fuelwood,"Bangladesh (Band, Chit, Sat); West Bengal (West Zone)",??? (????). ?? ???
Euphorbiaceae,Juss.,Acalypha,L.,Acalypha hispida Burm.f.,1768,Acalypha densiflora Blume; Acalypha hispida var. sanderi (N.E.Br.) J.J.Sm.; Acalypha sanderi N.E.Br.; Acalypha sanderi K.Schum.; Ricinocarpus hispidus (Burm.f.) Kuntze,"?????? (?????, ?????), ?????? (?????, ?????), ?? ???????? (Tabassum, 2015), ??? ???????? (Tabassum, 2015)",,Unknown,Unknown,Unknown,Unknown,Natural Forest,West Indies,Both,Ornament,"Bangladesh (Dhak, Gazi)",????? (?????). ?? ???; Tabassum (2015). p 269
Euphorbiaceae,Juss.,Acalypha,L.,Acalypha indica L.,1753,Acalypha bailloniana Müll.Arg.; Acalypha canescens Wall.; Acalypha chinensis Benth.; Acalypha decidua Forssk.; Cupamenis indica (L.) Raf.; Ricinocarpus baillonianus (Müll.Arg.) Kuntze; Ricinocarpus deciduus (Forssk.) Kuntze; Ricinocarpus indicus (L.) Kuntze,"?????????? (???????????) (Mollah et al., 2005; Rahman, 2013a; Tabassum, 2015)",,Unknown,Unknown,Unknown,Unknown,Natural Forest,Unknown,Both,Ornament,"Bangladesh (Gazi, Rajs, Sunm)",Mollah et al. (2005). p 33; Rahman (2013a). p 106; Tabassum (2015). p 270
Euphorbiaceae,Juss.,Acalypha,L.,Acalypha wilkesiana Müll.Arg.,1866,Acalypha compacta Guilf. ex C.T.White; Acalypha godseffiana Mast.; Acalypha hamiltoniana Bruant; Acalypha macrophylla Veitch; Acalypha marginata (Mill.) J.J.Sm.; Acalypha tricolor Seem.; Acalypha triumphans L.Linden & Rodigas; Ricinocarpus wilkesianus (Müll.Arg.) Kuntze,???? ?????,,Unknown,Unknown,Unknown,Unknown,,Unknown,Cultivated,Ornament,Bangladesh (Dhak),????? (?????). ?? ???
Orchidaceae,Juss.,Acampe,Lindl.,Acampe ochracea (Lindl.) Hochr.,1910,,"????? (?), ?????? (?)",,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Bangladesh,N.A
Acanthaceae,Juss.,Acanthus,L.,Acanthus ilicifolius L.,1753,Acanthus doloarin Blanco; Acanthus ilicifolia L.; Acanthus ilicifolius subsp. orientalis Bremek.; Acanthus ilicifolius var. subinteger Nees; Acanthus neoguineensis Engl.; Dilivaria ilicifolia (L.) Juss.,"?????, ??????? (????? ? ????????, ?????) ??????, ?????? ????? (????? ? ????????, ?????), ?????, ????, ??????????, ??? ??????????, ?????",,3,7,4,8,,Native,Wild,Medicine,Bangladesh (Sunb); West Bengal (Sunw),????? ? ???????? (?????). ?? ?; ?? (????). ?? ??
Acanthaceae,Juss.,Acanthus,L.,Acanthus leucostachyus Wall. ex Nees,1832,No synonyms found,???? ?????,,Unknown,Unknown,Unknown,Unknown,Hill forest,Native,Wild,Unknown,Bangladesh (Band),????? ? ???????? (?????). ?? ?
Acanthaceae,Juss.,Acanthus,L.,Acanthus volubilis Wall.,1831,Dilivaria scandens Nees; Dilivaria volubilis (Wall.) Nees,"????? ???, ??? ?????, ??? ???????? (????? ? ????????, ?????)",,4,7,5,8,"Riverside, Low land",Native,Wild,Unknown,"Bangladesh (Cox's, Sunb)",????? ? ???????? (?????). ?? ?
Sapindaceae,Juss.,Acer,L.,Acer campbellii Hook.f. & Thomson ex Hiern,1875,Acer campbellii var. campbellii; Acer campbellii var. serratifolium Banerji,"?????? (???, ????), ?????? (???, ????), ?????? ?????? (???, ????)",,4,6,6,8,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer cappadocicum Gled.,1785,Acer cappadocicum var. glabrescens A.E.Murray; Acer cappadocicum var. indicum (Pax) Rehder; Acer cappadocicum var. stenocarpum Yalt.; Acer colchicum Hartwiss; Acer laetum C.A.Mey.; Acer laetum var. colchicum (Hartwiss) Schwer.; Acer lobelii var. colchicum (Hartwiss) Pax,"???????, ???????",,4,7,6,9,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer caudatum Wall.,1830,Acer caudatum var. georgei Diels; Acer caudatum subsp. georgei (Diels) A.E.Murray; Acer papilio King,"????? ?????? (???, ????)",,3,8,5,10,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer laevigatum Wall.,1830,Acer laevigatum var. angustum Pax; Acer laevigatum var. dimorphifolium (Metcalf) W.P.Fang & W.K.Hu; Acer laevigatum var. salweenense (W.W.Sm.) Cowan ex W.P.Fang; Acer oblongum var. angustum (Pax) Wesm.; Acer oblongum var. laevigatum (Wall.) Wesm.,"????? ?????? (???, ????), ???? ?????? (???, ????)",,3,7,5,9,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer oblongum Wall. ex DC.,1824,Acer albopurpurascens Hayata; Acer buzimpala Buch.-Ham. ex D.Don; Acer itoanum (Hayata) H.L.Li; Acer laurifolium D.Don; Acer litseifolium Hayata; Acer nepalense Dippel; Acer oblongifolium Dippel; Euacer laevifolium Opiz,"??????? ?????? (???, ????)",,2,5,5,9,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer pectinatum Wall. ex G.Nicholson,1881,Acer pectinatum Wall. ex Pax; Acer pectinatum f. rufinerve A.E.Murray,"??? ?????? (???, ????)",,5,8,7,10,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer sikkimense Miq.,1867,Acer hookeri Miq.; Acer hookeri var. majus Pax; Acer hookeri var. orbiculare W.P.Fang & Y.T.Wu; Acer sikkimense subsp. hookeri (Miq.) Wesm.; Acer sikkimense var. serrulatum Pax; Acer sikkimense var. subintegrum Schwer.,"??? ?????? (???, ????), ????? ?????? (???, ????)",,11,7,5,11,,Native,Wild,Unknown,West Bengal (Darj),"??? (????). ?? ???, ???"
Sapindaceae,Juss.,Acer,L.,Acer stachyophyllum Hiern,1875,Acer muliense W.P.Fang & W.K.Hu; Acer stachyophyllum var. pentaneurum (W.P.Fang & W.K.Hu) W.P.Fang; Acer tetramerum Pax; Acer tetramerum var. dolichurum W.P.Fang & Y.T.Wu; Acer tetramerum var. elobulatum Rehder; Acer tetramerum var. tiliifolium Rehder,???? ?????,,5,8,8,11,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
Sapindaceae,Juss.,Acer,L.,Acer sterculiaceum subsp. thomsonii (Miq.) A.E.Murray,1969,Acer franchetii var. majus Hu; Acer platanifolium Griff.; Acer sterculiaceum subsp. thomsonii (Miq.) E. Murray; Acer thomsonii Miq.; Acer thomsonii subsp. catalpifolium A.E.Murray; Acer villosum var. thomsonii (Miq.) Hiern,"???? ?????? (???, ????)",,11,2,2,7,,Native,Wild,Unknown,West Bengal (Darj),??? (????). ?? ???
