Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anser,Brisson,Anser anser,Linnaeus,1758,Accepted as,Anser anser,"???? ??????? (Halder, 2010)",Graylag Goose,81,Ducks,Grey Goose,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 26; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anser,Brisson,Anser domesticus,Linnaeus,1758,Synonym for,Anser anser,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anser,Brisson,Anser indicus,Latham,1790,Accepted as,Anser indicus,"??????? (Halder, 2010)",Bar-headed Goose,75,Ducks,Grey Goose,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 26; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Apodiformes,Apodidae,Hartert,Apus,Scopoli,Apus affinis,J.E.Gray,1830,Accepted as,Apus affinis,"???????? (Halder, 2010)","Little Swift, House Swift",15,Swift,Common Swift,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 124; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila clanga,Pallas,1811,Synonym for,Clanga clanga,,,,,,,,,Halder (2010). p ###
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila hastata,Lesson,1831,Synonym for,Clanga hastata,,,,,,,,,BLI (2018); GBIF (2018); Halder (2010). p 84
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila heliaca,Savigny,1809,Accepted as,Aquila heliaca,"???? ??? (Halder, 2010)","Asian Imperial Eagle, Eastern Imperial Eagle",85,Eagles,Eagle,Migratory,VU,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 83; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila heliaca heliaca,Savigny,1809,Synonym for,Aquila heliaca,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila leucorypha,Pallas,1771,Synonym for,Haliaeetus leucoryphus,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila nipalensis,Hodgson,1833,Accepted as,Aquila nipalensis,"?????? ??? (Halder, 2010)",Steppe Eagle,78,Eagles,Eagle,Migratory,EN,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 83; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Aquila,Brisson,Aquila pennatus,Gmelin,1788,Synonym for,Hieraaetus pennatus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Galliformes,Phasianidae,Horsfield,Arborophila,Hodgson,Arborophila atrogularis,Blyth,1849,Accepted as,Arborophila atrogularis,"??????? ???? (Halder, 2010)","White-cheeked Partridge, White-cheecked Hill Partridge",28,Grouse,Partridge,Resident,NT,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 94; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea alba,Linnaeus,1758,Accepted as,Ardea alba,"?? ?? (Halder, 2010)","Great Egret, Common Egret, Great White Heron",90,Bitterns,Large Heron,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea cinerea,Linnaeus,1758,Accepted as,Ardea cinerea,"????? ?? (Halder, 2010)",Grey Heron,96,Bitterns,Large Heron,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 15; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea dubia,Gmelin,1789,Synonym for,Leptoptilos dubius,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea garzetta,Linnaeus,1766,Synonym for,Egretta garzetta,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea grayii,Sykes,1832,Synonym for,Ardeola grayii,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea intermedia,Wagler,1829,Accepted as,Ardea intermedia,"?????? ?? (Halder, 2010)","Intermediate Egret, Median Egret, Smaller Egret, Yellow-billed Egret",80,Bitterns,Large Heron,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea nigra,Linnaeus,1758,Synonym for,Ciconia nigra,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Ardea,Linnaeus,Ardea nycticorax,Linnaeus,1758,Synonym for,Nycticorax nycticorax,,,,,,,,,GBIF (2018)
